Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2015,INFY,EQ,1972.55,1968.95,1982,1956.9,1971,1974.4,1971.34,500691,9.87031E+13,14908,258080,0.5154
02-01-2015,INFY,EQ,1974.4,1972,2019.05,1972,2017.95,2013.2,2003.25,1694580,3.39467E+14,54166,1249104,0.7371
05-01-2015,INFY,EQ,2013.2,2009.9,2030,1977.5,1996,1995.9,2004.59,2484256,4.97991E+14,82694,1830962,0.737
06-01-2015,INFY,EQ,1995.9,1980,1985,1934.1,1965.1,1954.2,1954.82,2416829,4.72446E+14,108209,1772070,0.7332
07-01-2015,INFY,EQ,1954.2,1965,1974.75,1950,1966.05,1963.55,1962.59,1812479,3.55716E+14,62463,1317720,0.727
08-01-2015,INFY,EQ,1963.55,1985.6,1997,1950,1979.25,1973.45,1972.78,3391230,6.69016E+14,92752,2686012,0.792
09-01-2015,INFY,EQ,1973.45,1980.1,2109,1913.05,2075.3,2074.45,2037.69,11215832,2.28544E+15,359214,3369489,0.3004
12-01-2015,INFY,EQ,2074.45,2092,2119.2,2075,2112.95,2115.95,2099.4,3189722,6.69652E+14,107209,1818800,0.5702
13-01-2015,INFY,EQ,2115.95,2107.8,2107.8,2075,2092,2088.9,2089.42,2200309,4.59737E+14,66676,1385009,0.6295
14-01-2015,INFY,EQ,2088.9,2098.5,2133,2092.6,2129,2128.65,2110.88,2480315,5.23564E+14,53263,1832958,0.739
15-01-2015,INFY,EQ,2128.65,2135.2,2152.8,2112.25,2130,2134.25,2137.46,2085613,4.45791E+14,48882,1410992,0.6765
16-01-2015,INFY,EQ,2134.25,2148,2160,2112,2115,2118.3,2125.77,1672740,3.55586E+14,63848,1254004,0.7497
19-01-2015,INFY,EQ,2118.3,2120,2132.35,2094.6,2105,2102.5,2104.55,1021936,2.15071E+14,62963,673948,0.6595
