Date,Price
31-01-1979,1840.8
28-02-1979,2011.7
30-03-1979,1940.2
30-04-1979,2013.1
31-05-1979,2253.4
29-06-1979,2190.6
31-07-1979,2354.1
31-08-1979,2527.7
28-09-1979,3190.3
31-10-1979,3142.6
30-11-1979,3310.3
31-12-1979,4189.6
31-01-1980,5329.6
29-02-1980,5138.1
31-03-1980,4155.4
30-04-1980,4155.2
30-05-1980,4152.3
30-06-1980,5150.4
31-07-1980,4813.2
29-08-1980,4903.6
30-09-1980,5211.3
31-10-1980,4911.2
28-11-1980,4871.9
31-12-1980,4620.3
30-01-1981,4123.2
27-02-1981,4082.9
31-03-1981,4240.5
30-04-1981,3998.5
29-05-1981,4046.5
30-06-1981,3703.8
31-07-1981,3655.1
31-08-1981,3820.1
30-09-1981,3870.4
30-10-1981,3876.4
30-11-1981,3815
31-12-1981,3625.1
29-01-1982,3546
26-02-1982,3373.9
31-03-1982,2987.6
30-04-1982,3322.1
31-05-1982,3072.3
30-06-1982,2971.9
30-07-1982,3265.4
31-08-1982,3933.3
30-09-1982,3824.8
29-10-1982,4108.4
30-11-1982,4127.6
31-12-1982,4320
31-01-1983,5003.5
28-02-1983,4197
31-03-1983,4104.3
29-04-1983,4286.4
31-05-1983,4391.8
30-06-1983,4183.6
29-07-1983,4291
31-08-1983,4219.7
30-09-1983,4123.3
31-10-1983,3923.5
30-11-1983,4218.6
30-12-1983,3995
31-01-1984,4002.4
29-02-1984,4220.1
30-03-1984,4169.1
30-04-1984,4094.2
31-05-1984,4218.3
29-06-1984,4178.2
31-07-1984,3919.9
31-08-1984,4007.9
28-09-1984,4140
31-10-1984,4017
30-11-1984,4016
31-12-1984,3825.9
31-01-1985,3834.8
28-02-1985,3783.1
29-03-1985,4001.6
30-04-1985,3994.6
31-05-1985,3857
28-06-1985,3874.7
31-07-1985,3901.3
30-08-1985,3974
30-09-1985,3826.2
31-10-1985,3899.9
29-11-1985,3861.2
31-12-1985,3920.6
31-01-1986,4329
28-02-1986,4172.4
31-03-1986,4172.5
30-04-1986,4206.1
30-05-1986,4364.7
30-06-1986,4276.4
31-07-1986,4468.9
29-08-1986,4778.8
30-09-1986,5376.9
31-10-1986,5187.4
28-11-1986,5069.3
31-12-1986,5061
30-01-1987,5264.7
27-02-1987,5202.4
31-03-1987,5419.5
30-04-1987,5734.5
29-05-1987,5758.3
30-06-1987,5727.8
31-07-1987,5938.2
31-08-1987,5870.5
30-09-1987,5954.3
30-10-1987,6078.5
30-11-1987,6230.4
31-12-1987,6116.9
29-01-1988,6056.5
29-02-1988,5501.9
31-03-1988,6171.1
29-04-1988,5900.7
31-05-1988,6119.1
30-06-1988,6143.3
29-07-1988,6290.8
31-08-1988,6120.7
30-09-1988,5773.7
31-10-1988,6296.2
30-11-1988,6256.7
30-12-1988,6123.1
31-01-1989,5970.3
28-02-1989,5884.4
31-03-1989,5942.8
28-04-1989,5922.9
31-05-1989,5869.4
30-06-1989,6142.9
31-07-1989,6011.3
31-08-1989,5962.5
29-09-1989,6115.9
31-10-1989,6309.7
30-11-1989,6881.8
29-12-1989,6624.8
31-01-1990,7041
28-02-1990,6957.4
30-03-1990,6334.4
30-04-1990,6379.3
31-05-1990,6295.5
29-06-1990,6140.5
31-07-1990,6457.2
31-08-1990,6783.8
28-09-1990,7333.1
31-10-1990,6895
30-11-1990,6999.6
31-12-1990,6948.9
31-01-1991,6810.6
28-02-1991,6917
